index,ID,Tweet,Timestamp,Likes,Retweets,Length
19,1500770169651707904,هذو لي راك تهدر عليهم هم نفسهم الذين اردتم ان تنسبوهم اليكم، و الحمد لله العالم كله سمع بقصة المروك الذي استعمل صور مرأة ولاد نايل في  dubai expo و اراد ان يوهم الناس انهم مراريك. https://t.co/5EVDatIWze,2022-03-07 09:47:46+00:00,1,0,203
20,1500745009611657224,"تتوافق Shion مع عبارة ""لن أنساك. نقدم للزوار أزهارًا افتراضية فريدة من نوعها من جذع واحد، حيث يحصل الضيوف على لمحة نادرة عن 40 نوعًا من الزهور الرائعة في اليابان. #JapanPavilion at Expo 2020 Dubai #JapanDubai2020 #WhereIdeasMeet #OMOTENASHIflower @expo2020dubai https://t.co/Mtanij7WSa",2022-03-07 08:07:47+00:00,1,0,285
21,1500730516831715328,"جناح #أنجولا يحتفي مع جمهور #إكسبو2020 #دبي بالهوية والمنشأ ورحلة الحياة.. حيث قدمت مجموعة من الفنانين لوحات راقصة تعبيرية

للتفاصيل | https://t.co/eNlPwaxF1v

#عينك_على_إكسبو
#Expo2020 @expo2020dubai https://t.co/Is6y0MKurL",2022-03-07 07:10:12+00:00,1,1,224
22,1500717571720597510,"🗓️ متحمسون لجدول أعمالنا هذا الأسبوع في @expo2020dubai؟ استمتعوا بنشاطات متنوعة مع كانون ولا تنسوا المشاركة بمسابقاتنا الكثيرة والممتعة، على موقعنا الالكتروني : https://t.co/h0sELXY2Mr
#كانون_الشرق_الأوسط #كانون_شمال_أفريقيا #إكسبو2020 #دبي🇦🇪 https://t.co/5pOJ4MHFa0",2022-03-07 06:18:45+00:00,1,2,266
23,1500564069027299330,حصن الإتحاد 8 🇦🇪👮🏻‍♂️#حصن_الإتحاد_8 #expo_2020_dubai #إكسبو_2020_دبي #وزارة_الدفاع https://t.co/0pAaHCkgvT,2022-03-06 20:08:47+00:00,2,0,106
24,1500549356201693185,ألق نظرة على أسرع وأغلى سيارة إسعاف بالعالم في إكسبو 2020 دبي https://t.co/8iDVW3Rn9P عبر @cnnarabic,2022-03-06 19:10:20+00:00,1,0,100
25,1500549096909778948,"مُكوّن ""سحري"" للبشرة.. شركة تستخدم حليب الإبل لصنع الصابون https://t.co/fnfWG64vnk عبر @cnnarabic",2022-03-06 19:09:18+00:00,1,0,97
26,1500538787092434945,"مُكوّن ""سحري"" للبشرة ومفيد للاستحمام.. شركة تستخدم حليب الإبل لصنع الصابون https://t.co/Ypf4lK2WEu++",2022-03-06 18:28:20+00:00,0,0,100
27,1500529057070555136,"#إكسبو2020 دبي.. حصن الاتحاد 8 يسلط الضوء على الفخر الوطني بـ #الإمارات

رابط التقرير | https://t.co/vnx2eQfDlg

#عينك_على_إكسبو
#Expo2020 @expo2020dubai https://t.co/6DLUWI2QUm",2022-03-06 17:49:40+00:00,2,1,177
28,1500501458785128451,"رئيس وزراء #كرواتيا: #إكسبو2020 دبي"" يعزز ويثري علاقاتنا مع #الإمارات

رابط التقرير | https://t.co/QE5XUFeCy9

#عينك_على_إكسبو
#Expo2020 @expo2020dubai https://t.co/hSOdM2CdAP",2022-03-06 16:00:00+00:00,1,1,175
